topico,fecha,diario,seccion,freq
discurso-de-odio,2022-09-02,todonoticias,salud,0
copitos,2022-09-02,perfil,internacional,0
discurso-de-odio,2022-09-02,perfil,internacional,0
copitos,2022-09-02,clarin,rural,0
discurso-de-odio,2022-09-02,clarin,rural,0
copitos,2022-09-02,clarin,espectaculos,0
discurso-de-odio,2022-09-02,clarin,espectaculos,0
copitos,2022-09-02,eldestape,internacional,0
discurso-de-odio,2022-09-02,eldestape,internacional,9
copitos,2022-09-02,clarin,tecnologia,0
discurso-de-odio,2022-09-02,clarin,tecnologia,0
copitos,2022-09-02,lanacion,politica,0
discurso-de-odio,2022-09-02,lanacion,politica,16
copitos,2022-09-02,lanacion,deportes,0
discurso-de-odio,2022-09-02,lanacion,deportes,0
copitos,2022-09-02,lanacion,opinion,0
discurso-de-odio,2022-09-02,lanacion,opinion,1
copitos,2022-09-02,lanacion,sociedad,0
discurso-de-odio,2022-09-02,lanacion,sociedad,0
copitos,2022-09-02,lanacion,economia,0
discurso-de-odio,2022-09-02,lanacion,economia,0
copitos,2022-09-02,lanacion,propiedades,0
discurso-de-odio,2022-09-02,lanacion,propiedades,0
copitos,2022-09-02,lanacion,espectaculos,0
discurso-de-odio,2022-09-02,lanacion,espectaculos,1
copitos,2022-09-02,clarin,viajes,0
discurso-de-odio,2022-09-02,clarin,viajes,0
copitos,2022-09-02,lanacion,tecnologia,0
discurso-de-odio,2022-09-02,lanacion,tecnologia,0
copitos,2022-09-02,lanacion,internacional,0
discurso-de-odio,2022-09-02,lanacion,internacional,0
copitos,2022-09-02,lanacion,lifestyle,0
discurso-de-odio,2022-09-02,lanacion,lifestyle,0
copitos,2022-09-02,eldestape,espectaculos,0
discurso-de-odio,2022-09-02,eldestape,espectaculos,9
copitos,2022-09-02,lanacion,seguridad,0
discurso-de-odio,2022-09-02,lanacion,seguridad,0
copitos,2022-09-02,lanacion,autos,0
discurso-de-odio,2022-09-02,lanacion,autos,0
copitos,2022-09-02,paginadoce,deportes,0
discurso-de-odio,2022-09-02,paginadoce,deportes,0
copitos,2022-09-02,paginadoce,rosario12,0
discurso-de-odio,2022-09-02,paginadoce,rosario12,1
copitos,2022-09-02,todonoticias,autos,0
discurso-de-odio,2022-09-02,todonoticias,autos,0
copitos,2022-09-02,paginadoce,no,0
discurso-de-odio,2022-09-02,paginadoce,no,0
copitos,2022-09-02,clarin,cultura,0
discurso-de-odio,2022-09-02,clarin,cultura,5
copitos,2022-09-02,perfil,opinion,0
discurso-de-odio,2022-09-02,perfil,opinion,0
copitos,2022-09-02,ambito,deportes,0
discurso-de-odio,2022-09-02,ambito,deportes,0
copitos,2022-09-02,paginadoce,economia,0
discurso-de-odio,2022-09-02,paginadoce,economia,1
copitos,2022-09-02,clarin,policiales,0
discurso-de-odio,2022-09-02,clarin,policiales,0
copitos,2022-09-02,clarin,internacional,0
discurso-de-odio,2022-09-02,clarin,internacional,0
copitos,2022-09-02,lanacion,cultura,0
discurso-de-odio,2022-09-02,lanacion,cultura,0
copitos,2022-09-02,lanacion,comunidad,0
discurso-de-odio,2022-09-02,lanacion,comunidad,0
copitos,2022-09-02,ambito,opinion,0
